"31000224","+医学"
"31000261","+医療"
"100108","+テストテスト"
"100050","大腿骨"
"31000447","test"
"31000231","一般強化13"
"31000118","大人"
"33000712","aaafdfdfdsaf"
"100115","神奈川"
"31000460","+研究"
"31000507","医療 新聞"
"31000279","薬剤師"
"31000443","+U"
"31000459","+研究"
"31000647","消化器"
"31000407","保険"
"31000662","+あああああ"
"31000477","CMS"
"31000171","医療"
"31000660","新型インフルエンザ"
"31000319","学会"
"33000711","+testtttt"
"100092","+医学"
"31000175","ゆかりん"
"31000115","体"
"31000559","中耳炎"
"31000687","インフルエンザL"
"31000558","頭"
"31000278","癌"
"31000262","+あかさは"
"100117","兵庫"
"31000115","骨"
"31000190","+あいうえおか"
"31000115","血球"
"31000490","胃"
"31000181","管理強化15"
"31000163","+記事検索結果"
"31000497","炭酸水"
"31000344","+aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
"31000426","プロセス"
"31000125","+薬"
"31000118","幼児"
"31000677","+あああああ"
"31000558","背中"
"31000679","インフルエンザF"
"31000558","胸"
"33000693","インフルエンザR"
"31000407","新薬"
"31000559","筋肉痛"
"31000311","+医学"
"31000674","ウィルス3"
"31000556","脆弱性"
"100073","-わいわい"
"31000131","+医療"
"31000127","+地域"
"100120","鹿児島"
"31000661","インフルエンザA"
"100101","インフルエンザ"
"31000130","+cms"
"100014","+理学療法"
"31000135","+医療"
"31000276","医学"
"31000560","十二指腸潰瘍"
"31000396","薬"
"100003","-xxxxxxxxxx"
"31000389","+医学"
"31000113","沖縄"
"31000560","内視鏡"
"31000161","-同時走行テスト"
"100032","+ああい"
"31000479","ああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいいいああああああああああいいいいいいいいい"
"31000189","管理強化11"
"31000559","鼻水"
"31000559","骨"
"31000426","新薬"
"31000260","+医学"
"31000423","+薬"
"31000497","人"
"31000402","皮膚"
"100140","医師"
"31000183","管理強化13"
"31000229","一般強化11"
"31000683","インフルエンザH"
"31000406","医療"
"31000213","xxyyzz"
"31000251","あいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえおあいうえお"
"31000249","+医学"
"31000281","看護"
"31000560","薬"
"31000115","産"
"100002","薬"
"31000560","頭痛"
"31000427","-a"
"31000560","胃がん"
"100145","ドイツ"
"31000168","+研究機関"
"31000427","-b"
